pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,Three kids jumping in leaves.,Three kids jumping in leaves.,FLICKR,FLICKR,TRAIN	[sitting, jumping]
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,The back of a woman in costume ; little girl looks at her,The back of a woman in costume ; little girl looks at her,FLICKR,FLICKR,TEST	[woman, man]
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,A little boy hits a baseball while his family watches,A little boy hits a baseball while his family watches,FLICKR,FLICKR,TRAIN	[hitting, missing]
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,FLICKR,FLICKR,TRAIN	[not]
426,Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,Two men stand near the water with their fishing poles.,Two men stand near the water with their fishing poles.,FLICKR,FLICKR,TEST	[some, and]
738,The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,A man and bride walk down the aisle,A man and bride walk down the aisle,FLICKR,FLICKR,TRAIN	[arriving, leaving]
1185,A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A man and woman are walking arm in arm through a wooded area.,A man and woman are walking arm in arm through a wooded area.,SEMEVAL,SEMEVAL,TEST	[desert, wooded]
1334,The woman is measuring a man,The woman is measuring the other woman,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,The woman is measuring the other woman.,The woman is measuring the other woman.,SEMEVAL,SEMEVAL,TEST	[man, other]
1449,A man is lumping dough,A man is spreading dough,NEUTRAL,4,A_contradicts_B,B_neutral_A,A man is spreading out dough.,A man is spreading out dough.,SEMEVAL,SEMEVAL,TEST	[lumping, spreading]
1530,A horse is standing,A horse is running,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,A horse is standing.,A horse is standing.,SEMEVAL,SEMEVAL,TEST	[standing, running]
1538,A cat is playing a piano,A cat is playing a keyboard,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,A cat is playing a key board.,A cat is playing a key board.,SEMEVAL,SEMEVAL,TRAIN	[piano, keyboard]
1557,A man is dropping a tree,A man is carrying a tree,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A man is carrying a tree.,A man is carrying a tree.,SEMEVAL,SEMEVAL,TRAIN	[dropping, carrying]
1981,A truck is quickly going down a hill,A truck is quickly going up a hill,NEUTRAL,4,A_contradicts_B,B_neutral_A,A truck is going down a hill.,A truck is going down a hill.,SEMEVAL,SEMEVAL,TRAIN	[down, up]
2028,The guitar is being sold by a lady,The guitar is being played by a lady,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,A lady is playing the guitar.,A lady is playing the guitar.,SEMEVAL,SEMEVAL,TEST	[sold, played]
2207,Two kids are pushing an inflatable crocodile in a pool,Two kids are pushing past a crocodile in an inflatable pool,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,two kids push an inflatable crocodile around in a pool,two kids push an inflatable crocodile around in a pool,SEMEVAL,SEMEVAL,TRAIN	[past]
2229,A woman is tapping her fingers on a table,A woman is resting her fingers on a table,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a woman is tapping her fingers on a table,a woman is tapping her fingers on a table,SEMEVAL,SEMEVAL,TRIAL	[tapping, resting]
2674,A man is getting off the car,A man is getting into a car,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a man is getting into a car,a man is getting into a car,SEMEVAL,SEMEVAL,TEST	[off, into]
2966,A big potato is knocking a green ball,A big green ball is knocking a potato,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a big green ball knocks a potato over,a big green ball knocks a potato over,SEMEVAL,SEMEVAL,TRAIN	[]
3148,A man is missing the soccer ball,A man is kicking a soccer ball,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,a man is kicking a soccer ball,a man is kicking a soccer ball,SEMEVAL,SEMEVAL,TEST	[missing, kicking]
3260,A man is playing the guitar,A man is dropping the guitar,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a man plays the guitar,a man plays the guitar,SEMEVAL,SEMEVAL,TRAIN	[playing, dropping]
3583,A man is playing a flute,The man is playing a guitar,NEUTRAL,3.035,A_contradicts_B,B_neutral_A,a man is playing a flute,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST	[flute, guitar]
3587,A man is playing the drum,A man is disassembling the drum,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a man plays the drum,a man plays the drum,SEMEVAL,SEMEVAL,TEST	[playing, disassembling]
3599,The man is not doing floor exercises,A man is doing exercises,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a man is exercising,a man does floor exercises,SEMEVAL,SEMEVAL,TEST	[not, floor]
3714,A toy train is missing a toy car,A toy train is striking a toy car,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a toy train is striking a toy car,a toy train strikes a toy car,SEMEVAL,SEMEVAL,TEST	[missing, striking]
3779,A woman is playing the keyboard and a man is dancing,A woman is dancing and a man is playing the keyboard,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a woman dances while a man plays the keyboard,a woman dances while a man plays the keyboard,SEMEVAL,SEMEVAL,TRAIN	[]
3888,A man is silent,A man is singing,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,a man is singing,a man is singing,SEMEVAL,SEMEVAL,TEST	[silent, singing]
4020,The woman is picking up a baby kangaroo,The kangaroo is picking up the woman,NEUTRAL,3,A_contradicts_B,B_neutral_A,a woman picks up a baby kangaroo,the woman picked up the kangaroo,SEMEVAL,SEMEVAL,TRAIN	[baby]
4026,A man is breaking tiles with his hands,A man is repairing tiles with his hands,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,a man is breaking tiles with his hands,a man is breaking tiles with his hands,SEMEVAL,SEMEVAL,TEST	[breaking, repairing]
4078,The man is riding a horse,A horse is riding over a man,NEUTRAL,2.9,A_contradicts_B,B_neutral_A,the man is riding a horse,the man is riding a horse,SEMEVAL,SEMEVAL,TEST	[over]
4081,A horse is riding over a man,A man is riding a horse,NEUTRAL,3,A_contradicts_B,B_neutral_A,a man is riding on a horse,the man is riding a horse,SEMEVAL,SEMEVAL,TEST	[over]
4083,A man is stopping a horse,The man is riding a horse,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,the man is riding a horse,a man is riding on a horse,SEMEVAL,SEMEVAL,TRAIN	[stopping, riding]
4130,A dog is lying on a trampoline,A dog is jumping on a trampoline,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a dog is jumping on a trampoline,a dog is jumping on a trampoline,SEMEVAL,SEMEVAL,TEST	[lying, jumping]
4164,The man is erasing the drawing on the board,The woman is erasing the drawing on the board,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,the man erased the work on the board,the man erased the work on the board,SEMEVAL,SEMEVAL,TRIAL	[man, woman]
4428,Some women are talking,Some women are not talking,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,women are talking,women are talking,SEMEVAL,SEMEVAL,TEST	[not]
4471,A man is punching a soccer ball,A man is kicking a soccer ball,NEUTRAL,4,A_contradicts_B,B_neutral_A,a man is kicking a soccer ball,a man is kicking a soccer ball,SEMEVAL,SEMEVAL,TRAIN	[punching, kicking]
4689,A woman is slicing an onion,A woman is slicing garlic,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a woman is slicing an onion,a woman is slicing garlics,SEMEVAL,SEMEVAL,TRAIN	[onion, garlic]
5086,A man is singing and walking down the road,A man is singing and walking down the sidewalk,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a man is singing while walking down the sidewalk,a man is singing while walking down the sidewalk,SEMEVAL,SEMEVAL,TRAIN	[road, sidewalk]
5618,A man is severing the toe of an empty leather boot with a sword,A woman is severing the toe of an empty leather boot with a sword,NEUTRAL,4,A_contradicts_B,B_neutral_A,a man severs the toe of an empty leather boot using a sword,a man severs the toe of an empty leather boot using a sword,SEMEVAL,SEMEVAL,TRAIN	[man, woman]
5706,A man is reloading a shotgun,A man is firing a shotgun,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,a man is firing a shot gun,a man is firing a shot gun,SEMEVAL,SEMEVAL,TRIAL	[reloading, firing]
5712,A man is reloading a shotgun,A man is shooting a shotgun,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a man shoots a shotgun,a man is firing a shot gun,SEMEVAL,SEMEVAL,TRAIN	[reloading, shooting]
5760,A man is talking to a boy,A man is talking to a woman,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a man is talking to a woman,a man is talking to a woman,SEMEVAL,SEMEVAL,TEST	[boy, woman]
6326,A girl is wearing jeans and a pink shirt and is running,A girl is running with a pink shirt and is not wearing jeans,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,a girls wearing jeans and a pink shirt runs,a girls wearing jeans and a pink shirt runs,FLICKR,FLICKR,TRAIN	[with, not]
6365,The child is playing with toys outdoors,The child is playing with toys indoors,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,the bundled up child is playing with toys outdoors,the bundled up child is playing with toys outdoors,FLICKR,FLICKR,TEST	[outdoors, indoors]
6396,A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a wolf-like dog herds a pack of white sheep on a dusty farm,a wolf-like dog herds a pack of white sheep on a dusty farm,FLICKR,FLICKR,TRIAL	[scattering, herding]
6398,A sheepdog is dispersing a herd of sheep,A sheepdog is grouping a herd of sheep,NEUTRAL,4,A_contradicts_B,B_neutral_A,a sheepdog is rounding up a herd of sheep,a sheepdog is rounding up a herd of sheep,FLICKR,FLICKR,TEST	[dispersing, grouping]
6764,Three boys are resting on rocks along a river,Three boys are walking on rocks along a river,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,three boys walk on rocks along a river,three boys walk on rocks along a river,FLICKR,FLICKR,TRIAL	[resting, walking]
7816,Two dogs are looking at something that is splashing in the water,Two cats are looking at something that is splashing in the water,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,two dogs look at something splashing in the water,two dogs look at something splashing in the water,FLICKR,FLICKR,TEST	[dogs, cats]
7871,A man in a blue cowboy hat is riding a black horse,A man in a blue cowboy hat is riding a white horse,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,a man in a blue cowboy hat is riding a white horse,a man in a blue cowboy hat is riding a white horse,FLICKR,FLICKR,TEST	[black, white]
7881,Three people are driving four wheel ATVs in a street,Three people are driving four wheel ATVs in a field,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,three people on four wheel atv's in a field,three people on four wheel atv's in a field,FLICKR,FLICKR,TRAIN	[street, field]
7937,A woman dressed in elegant clothing is inside a crowd of people and is looking up,A woman dressed in elegant clothing is inside a crowd of people and is looking down,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,a woman dressed in elegant clothing is looking down while inside a crowd of people,a woman dressed in elegant clothing is looking down while inside a crowd of people,FLICKR,FLICKR,TRIAL	[up, down]
8004,A blonde girl is hanging by gymnastic ropes,A blonde man is hanging by gymnastic ropes,NEUTRAL,3,A_contradicts_B,B_neutral_A,a blond girl and brunette brown hanging by gymnastic ropes,a blond girl and brunette brown hanging by gymnastic ropes,FLICKR,FLICKR,TEST	[girl, man]
8049,Two people are sitting with laden baskets and blankets,Two people are walking with laden baskets and blankets,NEUTRAL,4.2,A_contradicts_B,B_neutral_A,two people walking laden down with baskets and blankets,two people walking laden down with baskets and blankets,FLICKR,FLICKR,TRAIN	[sitting, walking]
8092,A young boy in a helmet is riding a bike on the lawn,A young boy in a helmet is riding a bike on the road,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a young boy in a helmet rides a bike on the road,a young boy in a helmet rides a bike on the road,FLICKR,FLICKR,TRAIN	[lawn, road]
8229,A black dog is walking along rocky terrain,A black cat is walking along rocky terrain,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a black dog walking along a rocky terrain,a black dog walking along a rocky terrain,FLICKR,FLICKR,TEST	[dog, cat]
8247,Some young dirt bikers are getting a dirt bike up a sandy hill,Some old dirt bikers are getting a dirt bike up a sandy hill,NEUTRAL,4,A_contradicts_B,B_neutral_A,young dirt bikers try to get a dirt bike up a sandy hill,young dirt bikers try to get a dirt bike up a sandy hill,FLICKR,FLICKR,TRAIN	[young, old]
8274,Two dogs are playing inside,Two dogs are playing outside,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,a collie and a springer spaniel playing outside,a collie and a springer spaniel playing outside,FLICKR,FLICKR,TRAIN	[inside, outside]
8353,People are sitting at round tables in a red room,People are sitting at square tables in a red room,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,people are sitting at square tables in a red room,people are sitting at square tables in a red room,FLICKR,FLICKR,TEST	[round, square]
8355,Several people are sitting at small tables in a light room,Several people are sitting at small tables in a darkened room,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,several people sitting at small tables in a darkened room,several people sitting at small tables in a darkened room,FLICKR,FLICKR,TRAIN	[light, darkened]
8382,The young girl in blue is having fun on a swing,The young girl in blue is having fun on a slide,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,the young girl in blue is having fun on a slide,the young girl in blue is having fun on a slide,FLICKR,FLICKR,TEST	[swing, slide]
8463,An old man in a white shirt and gold and black hat is sitting with crossed legs,A young man in a white shirt and gold and black hat is sitting with crossed legs,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a young man in a white shirt and gold and black hat sits cross legged,a young man in a white shirt and gold and black hat sits cross legged,FLICKR,FLICKR,TEST	[old, young]
8634,A man is rock climbing pausing and calculating the route,A woman is rock climbing pausing and calculating the route,NEUTRAL,4.2,A_contradicts_B,B_neutral_A,a man rock climbing pauses to calculate his route,a man rock climbing pauses to calculate his route,FLICKR,FLICKR,TEST	[man, woman]
8670,A woman is standing with a pair of dogs,A woman is marching with a pair of dogs,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a woman marches with a pair of dogs,a woman marches with a pair of dogs,FLICKR,FLICKR,TEST	[standing, marching]
8699,A white bird with a yellow beak is standing in the green grass,A black bird with a yellow beak is standing in the green grass,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a black bird with a yellow beak standing in green grass,a black bird with a yellow beak standing in green grass,FLICKR,FLICKR,TRAIN	[white, black]
8708,A man with a shirt is posing with the arms spread next to a woman,A man without a shirt is posing with the arms spread next to a woman,NEUTRAL,4.2,A_contradicts_B,B_neutral_A,a man without a shirt poses with his arms spread next to a woman,a man without a shirt poses with his arms spread next to a woman,FLICKR,FLICKR,TRAIN	[without]
8751,Four people are walking on a bridge over a body of water,Four people are sitting on a bridge over a body of water,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,four people walk on a bridge over a body of water,four people walk on a bridge over a body of water,FLICKR,FLICKR,TRAIN	[walking, sitting]
8778,Three hikers are standing on a mountainside and looking at the view with a pair of binoculars,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,NEUTRAL,4.4,A_contradicts_B,B_neutral_A,three hikers are sitting on a mountainside looking at the view one using a pair of binoculars,three hikers are sitting on a mountainside looking at the view one using a pair of binoculars,FLICKR,FLICKR,TEST	[standing, sitting]
8834,A man with a white moustache is sitting on a balcony and is looking at the road below,A man with a white moustache is standing on a balcony and is looking at the road below,NEUTRAL,4.4,A_contradicts_B,B_neutral_A,a man with a white mustache stands on a balcony looking at the road below,a man with a white mustache stands on a balcony looking at the road below,FLICKR,FLICKR,TRAIN	[sitting, standing]
8877,A dog is catching a black frisbee,A dog is catching a white frisbee,NEUTRAL,3.585,A_contradicts_B,B_neutral_A,a dog catches black frisbee,a dog catches black frisbee,FLICKR,FLICKR,TEST	[black, white]
8915,A man and a woman are standing in front of an art gallery and are looking at a map,A man and a woman are sitting in front of an art gallery and are looking at a map,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a man and woman are standing in front of an art gallery looking at a map,a man and woman are standing in front of an art gallery looking at a map,FLICKR,FLICKR,TRAIN	[standing, sitting]
8958,A big group of people are standing and two are sitting on the couch,A small group of people are standing and two are sitting on the couch,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a small group of people standing while two sit on the couch,a small group of people standing while two sit on the couch,FLICKR,FLICKR,TRAIN	[big, small]
8994,A little kid is wearing a hat and is walking in the dry sand,A little kid is wearing a hat and is walking in the wet sand,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,a little kid wearing a hat is walking in the wet sand,a little kid wearing a hat is walking in the wet sand,FLICKR,FLICKR,TRAIN	[dry, wet]
9025,A brown dog is running after a black dog on a rocky shore,A brown dog is running after a white dog on a rocky shore,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a brown dog is running after a black dog on a rocky shore,a brown dog is running after a black dog on a rocky shore,FLICKR,FLICKR,TEST	[black, white]
9061,A white dog is standing on a grassy hillside,A black dog is standing on a grassy hillside,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a white dog is standing on a grassy hillside,a white dog is standing on a grassy hillside,FLICKR,FLICKR,TEST	[white, black]
9151,A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a woman stands in a black dress pulling a cart in front of two men seated on a park bench,a woman stands in a black dress pulling a cart in front of two men seated on a park bench,FLICKR,FLICKR,TEST	[man, woman]
9221,The white dog is carrying a blue and white ball in its mouth,The black dog is carrying a blue and white ball in its mouth,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,the black dog is carrying a blue and white ball in it's mouth,the black dog is carrying a blue and white ball in it's mouth,FLICKR,FLICKR,TEST	[black]
9323,Two men and a girl in behind of a wood panel wall are posing with funny faces,Two men and a girl in front of a wood panel wall are posing with funny faces,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,two men and a girl pose with funny faces in front of a wood panel wall,two men and a girl pose with funny faces in front of a wood panel wall,FLICKR,FLICKR,TRAIN	[behind, front]
9369,A man in a red jacket and khaki pants is walking through an European state,A man in a red jacket and khaki pants is walking through an American state,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a man in a red jacket and khaki pants is walking through a part of what looks like arizona,a man in a red jacket and khaki pants is walking through a part of what looks like arizona,FLICKR,FLICKR,TRAIN	[European, American]
